instance pathlad vf2 ri
si4_r005_m600.01 201.179 3600.01 8.22061
si4_r005_m600.04 1970.29 3600.01 8.38918
si4_r005_m600.03 610.117 3600.01 8.34701
si4_r005_m600.09 31.9348 3600.01 0.108663
si4_b09_m400.05 0.421933 0.00900287 0.0316264
si4_b09_m400.03 0.415203 0.0110066 0.0300743
si4_b09_m400.00 0.429376 0.00887415 0.0361479
si4_b09_m400.07 0.419282 0.00873981 0.0283821
si4_b09_m400.01 0.454107 0.00843387 0.0309465
si4_b09_m400.06 0.414379 0.00837906 0.027878
si4_b09_m400.04 0.41838 0.0084125 0.030782
si4_b09_m400.02 0.425439 0.00858983 0.0293742
si4_b09_m400.08 0.411771 0.0081861 0.034484
si4_b09_m400.09 0.455486 0.00913253 0.035406
si4_b06m_m400.06 0.00972508 0.0103511 0.0300508
si4_b06m_m400.03 0.00787781 0.00777127 0.0294944
si4_b06m_m400.01 0.00852513 0.00872882 0.0267795
si4_b06m_m400.08 0.0122338 0.0102591 0.0356512
si4_b06m_m400.05 0.00913733 0.00846067 0.0271387
si4_b06m_m400.07 0.0091278 0.00791932 0.0304197
si4_b06m_m400.00 0.012402 0.00796964 0.0278671
si4_b06m_m400.04 0.00916103 0.00999243 0.029648
si4_b06m_m400.09 0.00848545 0.00770194 0.0290912
si4_b06m_m400.02 0.00898838 0.00788186 0.027106
si2_m4Dr2_m625.05 0.0685235 0.0143206 0.0335628
si2_m4Dr2_m625.00 0.229338 0.0108189 0.0371205
si2_m4Dr2_m625.08 0.0104147 0.0105714 0.0314049
si2_m4Dr2_m625.09 0.103143 0.0112868 0.0336335
si2_m4Dr2_m625.06 0.212182 0.0104352 0.0373493
si2_m4Dr2_m625.04 0.186005 0.0107812 0.0309654
si2_m4Dr2_m625.01 0.10195 0.0108465 0.0319401
si2_m4Dr2_m625.03 0.0561808 0.0107231 0.0446529
si2_m4Dr2_m625.02 0.209969 0.0109809 0.0409676
si2_m4Dr2_m625.07 0.0781919 0.01357 0.0298223
si2_r005_m200.02 0.551787 3600.01 0.0493143
si2_r005_m200.01 11.2934 3600.01 2.62524
si2_r005_m200.03 1.80146 3600.01 0.0809956
si2_r005_m200.05 265.209 3600.01 9.94348
si2_r005_m200.08 59.3127 3600.01 18.1745
si2_r005_m200.04 10.7343 3600.01 1.20202
si2_r005_m200.09 0.130349 3600.01 0.0629481
si2_r005_m200.06 2.8808 3600.01 0.271419
si2_r005_m200.00 17.9781 3600.01 0.178166
si2_r005_m200.07 2.77744 3600.01 0.247951
si4_b03m_m400.03 0.00875038 0.00697182 0.0277728
si4_b03m_m400.09 0.00912127 0.00712096 0.0263437
si4_b03m_m400.08 0.0114087 0.00690593 0.0288687
si4_b03m_m400.04 0.00892441 0.00890054 0.0264255
si4_b03m_m400.00 0.00887581 0.00765098 0.0308298
