instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
si6_m4Dr6_m625.07 48 60 159 213 150 36 268 518 45 80 33 NaN NaN 23 NaN NaN 41 53 NaN
si6_m4Dr6_m625.00 84 103 254 128 108 36 27 1965 51 61 36 NaN NaN 22 NaN NaN 41 25 6659
si6_m4Dr6_m625.08 89 109 163 164 134 61 121 101 50 66 35 NaN NaN 23 NaN NaN 25 31 11823
si6_m4Dr6_m625.05 50 103 203 164 311 36 156 269 49 102 33 NaN NaN 22 NaN NaN 40 186 1188538
si6_m4Dr6_m625.06 48 106 267 136 127 35 51 38 78 60 31 NaN NaN 21 NaN NaN 25 220 4429
si6_m4Dr6_m625.02 85 116 153 202 186 37 43 200 74 65 33 NaN NaN 39 NaN NaN 41 370 66785
si6_m4Dr6_m625.03 78 96 156 132 22124 35 376 729 43 54 32 NaN NaN 36 NaN NaN 41 144 3042620
si4_m4Dr2_m625.09 30 69 147 108 23421 24 32 61 659923 677117 258130 NaN NaN 256259 NaN NaN 26 636 47930
si4_m4Dr2_m625.04 60 74 87 69 86 25 31 473 34 57 25 NaN NaN 19 NaN NaN 20 17 9799
si4_m4Dr2_m625.02 46 63 114 69 95 38 30 78 45 46 21 NaN NaN 14 NaN NaN 15 12 3622
si4_m4Dr2_m625.07 47 62 87 122 12155 38 51 164 5652 5900 2166 NaN NaN 2278 NaN NaN 23 174 18886
si4_m4Dr2_m625.00 44 37 88 72 810 39 25 116 33 41 24 NaN NaN 26 NaN NaN 15 176 3437
si4_m4Dr2_m625.08 49 45 87 108 101 40 20 1730 63 80 27 NaN NaN 17 NaN NaN 25 10 46025
si4_m4Dr2_m625.01 29 38 82 66 268 24 20 87 35 41 23 NaN NaN 15 NaN NaN 25 76 6725
si4_m4Dr2_m625.06 47 37 141 72 78 25 33 45 128 140 61 NaN NaN 53 NaN NaN 25 34 1313
si4_m4Dr2_m625.03 33 73 136 104 87 40 20 49 97 104 35 NaN NaN 30 NaN NaN 25 12 3194
si4_m4Dr2_m625.05 54 71 133 72 183 23 167 27359 34 45 33 NaN NaN 14 NaN NaN 26 232 27267
si2_r001_m600.00 57 71 275 367 239 131 13 170 158112 146882 72612 NaN NaN 71680 NaN NaN 197 10 205
si2_r001_m600.06 141 220 264 291 238 124 21 10 NaN NaN NaN NaN NaN NaN NaN NaN 132 6 29
si2_r001_m600.04 33 42 218 246 278 204 21 517 NaN NaN NaN NaN NaN NaN NaN NaN 18 10 5
si2_r001_m600.07 52 39 221 724 291 312 13 9 NaN NaN NaN NaN NaN NaN NaN NaN 527 9 22
si2_r001_m600.02 26 69 225 222 185 42 35 10 NaN NaN NaN NaN NaN NaN NaN NaN 682 10 17
si2_r001_m600.08 124 166 296 240 176 280 21 16 NaN NaN NaN NaN NaN NaN NaN NaN 62 6 3
si2_r001_m600.03 124 72 284 1185 194 608 21 10 NaN NaN NaN NaN NaN NaN NaN NaN 93929 7 6
si2_r001_m600.01 49 61 322 265 219 111 33 51 NaN NaN NaN NaN NaN NaN NaN NaN 78 19 28
si2_r001_m600.05 84 117 297 309 212 50 21 10 NaN NaN NaN NaN NaN NaN NaN NaN 120 10 3
si2_r001_m600.09 30 38 276 340 228 36 21 94 NaN NaN NaN NaN NaN NaN NaN NaN 35132 10 75
si2_m4Dr2_m256.09 3 8 18 14 7 5 3 2 14 17 36 NaN NaN 26 NaN NaN 3 1 1
si2_m4Dr2_m256.03 4 10 18 14 10 4 3 3 77521 77782 2058838 NaN NaN 2181988 NaN NaN 4 1 1
si2_m4Dr2_m256.04 13 5 23 15 9 6 4 4 12 6 4 NaN NaN 22 NaN NaN 14 1 5
si2_m4Dr2_m256.07 5 4 25 22 13 3 2 45 2 4 5 NaN NaN 2 NaN NaN 2 1 43
si2_m4Dr2_m256.00 6 6 20 17 15 5 4 4 4 10 6 NaN NaN 2 NaN NaN 3 1 46
si2_m4Dr2_m256.06 10 13 20 10 7 9 4 25 20 24 416 NaN NaN 307 NaN NaN 4 1 22
si2_m4Dr2_m256.08 3 7 16 24 22 3 3 93 5 5 3 NaN NaN 2 NaN NaN 2 3 154
si2_m4Dr2_m256.05 3 5 16 14 13 3 3 2 2 7 3 NaN NaN 2 NaN NaN 2 1 1
si2_m4Dr2_m256.01 3 8 20 58 9 44 3 2 24 29 516 NaN NaN 531 NaN NaN 42 1 0
si2_m4Dr2_m256.02 5 5 20 11 16 3 4 4 5 5 3 NaN NaN 1 NaN NaN 1 1 24
si6_r001_m600.09 163 171 517 430 NaN 43 NaN NaN 179 125 40 NaN NaN 29 NaN NaN 53 NaN NaN
si6_r001_m600.00 117 222 473 364 8475 73 13765 9387 120 180 74 NaN NaN 284 NaN NaN 90 49116 26811
si6_r001_m600.07 118 210 430 345 11923 68 511658 1081306 122 137 83 NaN NaN 41 NaN NaN 53 266 747
si6_r001_m600.03 123 200 480 466 323092 74 5376 360387 120 148 52 NaN NaN 44 NaN NaN 57 118799 NaN
si6_r001_m600.01 119 177 497 423 4913 70 534384 978836 155 175 70 NaN NaN 52 NaN NaN 32 459898 291615
si6_r001_m600.06 116 128 952 872 5368 42 3995 74440 116 132 46 NaN NaN 49 NaN NaN 50 427 33196
si6_r001_m600.08 120 177 632 509 49891 73 5873 2650 126 136 51 NaN NaN 35 NaN NaN 32 2796 2291
si6_r001_m600.02 121 189 416 332 19212 93 49641 112006 189 159 59 NaN NaN 51 NaN NaN 58 28315 376263
