instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
all-images-CVIU11-pattern13-target26 59 69 58 120 0 100 0 0 55 32 126 NaN NaN 68 NaN NaN 56 0 0
all-images-CVIU11-pattern13-target27 174 133 178 373 0 349 0 0 135 135 304 NaN NaN 153 NaN NaN 171 0 0
all-images-CVIU11-pattern13-target28 26 36 39 81 0 80 0 0 29 36 101 NaN NaN 29 NaN NaN 57 0 0
all-images-CVIU11-pattern13-target29 359 358 353 1057 0 777 0 0 343 345 756 NaN NaN 375 NaN NaN 398 0 0
all-images-CVIU11-pattern13-target3 216 240 199 682 0 496 0 0 205 196 452 NaN NaN 254 NaN NaN 237 0 0
all-images-CVIU11-pattern13-target30 273 550 671 728 0 533 0 0 277 510 542 NaN NaN 282 NaN NaN 264 0 0
all-images-CVIU11-pattern13-target31 185 264 243 512 0 558 0 0 219 180 388 NaN NaN 190 NaN NaN 248 0 0
all-images-CVIU11-pattern13-target32 559 901 1104 1222 0 861 0 0 432 846 895 NaN NaN 440 NaN NaN 480 0 0
all-images-CVIU11-pattern13-target33 382 359 358 1006 0 801 0 0 369 354 801 NaN NaN 394 NaN NaN 399 0 0
all-images-CVIU11-pattern13-target34 155 298 393 459 0 323 0 0 159 308 418 NaN NaN 169 NaN NaN 192 0 0
all-images-CVIU11-pattern13-target35 326 340 337 1018 0 765 0 0 349 328 769 NaN NaN 357 NaN NaN 357 0 0
all-images-CVIU11-pattern13-target36 107 243 436 327 0 215 0 0 142 326 218 NaN NaN 155 NaN NaN 120 0 0
all-images-CVIU11-pattern13-target37 376 709 938 979 0 722 0 0 339 723 684 NaN NaN 350 NaN NaN 373 0 0
all-images-CVIU11-pattern13-target38 441 722 949 1041 0 673 0 0 363 689 610 NaN NaN 305 NaN NaN 313 0 0
all-images-CVIU11-pattern13-target39 158 189 318 370 0 273 0 0 161 226 230 NaN NaN 102 NaN NaN 160 0 0
all-images-CVIU11-pattern13-target4 247 378 474 577 0 411 0 0 211 389 410 NaN NaN 193 NaN NaN 222 0 0
all-images-CVIU11-pattern13-target40 173 272 399 508 0 362 0 0 232 270 315 NaN NaN 193 NaN NaN 192 0 0
all-images-CVIU11-pattern13-target41 192 293 354 471 0 323 0 0 190 288 328 NaN NaN 179 NaN NaN 237 0 0
all-images-CVIU11-pattern13-target42 179 158 160 465 0 360 0 0 164 157 378 NaN NaN 182 NaN NaN 180 0 0
all-images-CVIU11-pattern13-target43 283 333 282 785 0 593 0 0 265 284 609 NaN NaN 329 NaN NaN 300 0 0
all-images-CVIU11-pattern13-target44 428 797 1111 1156 0 821 0 0 482 823 809 NaN NaN 421 NaN NaN 402 0 0
all-images-CVIU11-pattern13-target45 372 369 358 1066 0 763 0 0 361 352 812 NaN NaN 393 NaN NaN 391 0 0
all-images-CVIU11-pattern13-target46 173 370 507 446 0 515 0 0 179 351 371 NaN NaN 235 NaN NaN 200 0 0
all-images-CVIU11-pattern13-target47 330 646 868 841 0 606 0 0 340 604 618 NaN NaN 309 NaN NaN 326 0 0
all-images-CVIU11-pattern13-target48 118 172 258 303 0 229 0 0 114 170 179 NaN NaN 109 NaN NaN 99 0 0
all-images-CVIU11-pattern13-target49 164 167 151 428 0 330 0 0 169 160 387 NaN NaN 177 NaN NaN 198 0 0
all-images-CVIU11-pattern13-target5 263 299 293 851 0 612 0 0 274 273 698 NaN NaN 282 NaN NaN 327 0 0
all-images-CVIU11-pattern13-target50 507 788 877 1012 0 740 0 0 355 669 685 NaN NaN 336 NaN NaN 367 0 0
all-images-CVIU11-pattern13-target51 126 247 364 402 0 264 0 0 122 276 269 NaN NaN 165 NaN NaN 152 0 0
all-images-CVIU11-pattern13-target52 193 288 420 512 0 352 0 0 164 319 328 NaN NaN 160 NaN NaN 141 0 0
all-images-CVIU11-pattern13-target53 78 135 191 274 0 176 0 0 69 191 171 NaN NaN 116 NaN NaN 117 0 0
all-images-CVIU11-pattern13-target54 123 165 205 245 0 176 0 0 82 201 204 NaN NaN 114 NaN NaN 95 0 0
all-images-CVIU11-pattern13-target55 105 66 66 231 0 239 0 0 99 92 162 NaN NaN 78 NaN NaN 86 0 0
all-images-CVIU11-pattern13-target56 46 73 70 229 0 171 0 0 71 45 168 NaN NaN 53 NaN NaN 93 0 0
all-images-CVIU11-pattern13-target57 443 841 1125 1189 0 915 0 0 410 841 889 NaN NaN 422 NaN NaN 446 0 0
all-images-CVIU11-pattern13-target58 76 70 53 241 0 129 0 0 46 76 166 NaN NaN 55 NaN NaN 64 0 0
all-images-CVIU11-pattern13-target59 244 366 235 768 0 576 0 0 360 333 551 NaN NaN 258 NaN NaN 405 0 0
all-images-CVIU11-pattern13-target6 381 785 855 822 0 618 0 0 333 658 591 NaN NaN 291 NaN NaN 303 0 0
all-images-CVIU11-pattern13-target60 118 125 122 416 0 334 0 0 181 113 267 NaN NaN 160 NaN NaN 176 0 0
all-images-CVIU11-pattern13-target61 343 224 234 790 0 552 0 0 229 222 525 NaN NaN 247 NaN NaN 249 0 0
all-images-CVIU11-pattern13-target62 337 626 840 944 0 625 0 0 295 575 600 NaN NaN 306 NaN NaN 346 0 0
all-images-CVIU11-pattern13-target63 193 232 209 784 0 447 0 0 190 197 440 NaN NaN 223 NaN NaN 243 0 0
all-images-CVIU11-pattern13-target64 156 372 370 456 0 307 0 0 154 373 307 NaN NaN 183 NaN NaN 154 0 0
all-images-CVIU11-pattern13-target65 113 115 132 373 0 281 0 0 102 120 268 NaN NaN 159 NaN NaN 134 0 0
all-images-CVIU11-pattern13-target66 104 105 68 240 0 159 0 0 86 58 156 NaN NaN 107 NaN NaN 131 0 0
all-images-CVIU11-pattern13-target67 325 632 756 904 0 623 0 0 291 632 637 NaN NaN 311 NaN NaN 305 0 0
all-images-CVIU11-pattern13-target68 319 393 379 898 0 750 0 0 336 316 682 NaN NaN 474 NaN NaN 382 0 0
all-images-CVIU11-pattern13-target69 386 827 1133 1131 0 820 0 0 360 756 819 NaN NaN 402 NaN NaN 395 0 0
all-images-CVIU11-pattern13-target7 319 276 266 809 0 567 0 0 252 296 533 NaN NaN 289 NaN NaN 299 0 0
all-images-CVIU11-pattern13-target70 340 559 799 932 0 672 0 0 332 562 671 NaN NaN 315 NaN NaN 343 0 0
all-images-CVIU11-pattern13-target71 214 218 222 702 0 659 0 0 209 219 504 NaN NaN 241 NaN NaN 246 0 0
all-images-CVIU11-pattern13-target72 205 249 204 639 0 462 0 0 200 294 440 NaN NaN 227 NaN NaN 231 0 0
all-images-CVIU11-pattern13-target73 419 640 883 951 0 666 0 0 346 650 653 NaN NaN 333 NaN NaN 521 0 0
all-images-CVIU11-pattern13-target74 368 453 451 889 0 883 0 0 323 328 722 NaN NaN 353 NaN NaN 368 0 0
all-images-CVIU11-pattern13-target75 377 353 359 915 0 722 0 0 386 410 800 NaN NaN 350 NaN NaN 375 0 0
all-images-CVIU11-pattern13-target76 348 329 344 1109 0 811 0 0 360 324 755 NaN NaN 350 NaN NaN 395 0 0
all-images-CVIU11-pattern13-target77 505 394 345 1203 0 767 0 0 334 323 799 NaN NaN 354 NaN NaN 395 0 0
all-images-CVIU11-pattern13-target78 375 732 926 1068 0 744 0 0 361 704 735 NaN NaN 349 NaN NaN 385 0 0
all-images-CVIU11-pattern13-target79 74 68 54 224 0 158 0 0 51 68 119 NaN NaN 60 NaN NaN 101 0 0
all-images-CVIU11-pattern13-target8 134 111 135 446 0 306 0 0 138 110 295 NaN NaN 124 NaN NaN 132 0 0
all-images-CVIU11-pattern13-target80 63 65 96 282 0 206 0 0 93 90 158 NaN NaN 72 NaN NaN 80 0 0
all-images-CVIU11-pattern13-target81 186 124 131 432 0 311 0 0 191 122 309 NaN NaN 191 NaN NaN 173 0 0
all-images-CVIU11-pattern13-target82 177 178 182 553 0 401 0 0 175 199 392 NaN NaN 195 NaN NaN 205 0 0
all-images-CVIU11-pattern13-target83 183 179 199 631 0 427 0 0 216 224 418 NaN NaN 224 NaN NaN 211 0 0
all-images-CVIU11-pattern13-target84 16 9 14 45 0 29 0 0 13 13 44 NaN NaN 13 NaN NaN 20 0 0
all-images-CVIU11-pattern13-target85 248 233 266 697 0 551 0 0 228 233 538 NaN NaN 249 NaN NaN 263 0 0
all-images-CVIU11-pattern13-target86 150 203 201 482 0 332 0 0 160 169 340 NaN NaN 178 NaN NaN 255 0 0
all-images-CVIU11-pattern13-target87 122 119 162 373 0 428 0 0 162 136 322 NaN NaN 160 NaN NaN 146 0 0
all-images-CVIU11-pattern13-target88 311 385 557 698 0 508 0 0 289 381 488 NaN NaN 244 NaN NaN 276 0 0
all-images-CVIU11-pattern13-target89 79 80 123 294 0 207 0 0 96 94 170 NaN NaN 79 NaN NaN 137 0 0
all-images-CVIU11-pattern13-target9 125 207 129 398 0 354 0 0 123 131 281 NaN NaN 152 NaN NaN 147 0 0
all-images-CVIU11-pattern13-target90 54 152 119 192 0 167 0 0 76 129 104 NaN NaN 43 NaN NaN 80 0 0
all-images-CVIU11-pattern13-target91 30 54 55 88 0 74 0 0 17 49 67 NaN NaN 26 NaN NaN 39 0 0
all-images-CVIU11-pattern13-target92 387 701 909 1087 0 742 0 0 393 714 693 NaN NaN 339 NaN NaN 357 0 0
all-images-CVIU11-pattern13-target93 168 140 140 480 0 342 0 0 175 171 341 NaN NaN 199 NaN NaN 190 0 0
all-images-CVIU11-pattern13-target94 250 465 615 711 0 514 0 0 269 468 557 NaN NaN 248 NaN NaN 232 0 0
all-images-CVIU11-pattern13-target95 30 36 36 83 0 68 0 0 32 19 58 NaN NaN 42 NaN NaN 52 0 0
all-images-CVIU11-pattern13-target96 128 125 93 291 0 227 0 0 86 106 193 NaN NaN 120 NaN NaN 175 0 0
all-images-CVIU11-pattern13-target97 117 199 261 355 0 224 0 0 139 177 191 NaN NaN 88 NaN NaN 106 0 0
all-images-CVIU11-pattern13-target98 38 32 55 187 0 114 0 0 50 45 135 NaN NaN 46 NaN NaN 48 0 0
all-images-CVIU11-pattern13-target99 218 210 209 653 0 506 0 0 210 214 474 NaN NaN 244 NaN NaN 242 0 0
all-images-CVIU11-pattern14-target1 253 487 549 616 0 417 0 0 357 420 417 NaN NaN 217 NaN NaN 233 0 0
all-images-CVIU11-pattern14-target10 189 353 445 433 0 331 0 0 213 344 290 NaN NaN 145 NaN NaN 206 0 0
all-images-CVIU11-pattern14-target100 62 100 121 115 0 81 0 0 71 79 112 NaN NaN 36 NaN NaN 43 0 0
all-images-CVIU11-pattern14-target101 38 71 101 117 0 128 0 0 30 64 116 NaN NaN 55 NaN NaN 49 0 0
all-images-CVIU11-pattern14-target102 135 180 279 332 0 220 0 0 118 195 154 NaN NaN 72 NaN NaN 140 0 0
all-images-CVIU11-pattern14-target103 137 342 375 325 0 215 0 0 136 301 196 NaN NaN 96 NaN NaN 172 0 0
all-images-CVIU11-pattern14-target104 242 471 812 660 0 436 0 0 291 455 431 NaN NaN 260 NaN NaN 234 0 0
all-images-CVIU11-pattern14-target105 274 469 628 610 0 469 0 0 240 465 441 NaN NaN 219 NaN NaN 289 0 0
all-images-CVIU11-pattern14-target106 201 349 566 513 0 336 0 0 200 519 330 NaN NaN 149 NaN NaN 181 0 0
all-images-CVIU11-pattern14-target107 142 290 392 345 0 265 0 0 127 239 222 NaN NaN 133 NaN NaN 158 0 0
all-images-CVIU11-pattern14-target108 403 756 1069 995 0 758 0 0 402 759 729 NaN NaN 366 NaN NaN 419 0 0
all-images-CVIU11-pattern14-target109 261 487 683 711 0 462 0 0 263 457 446 NaN NaN 240 NaN NaN 240 0 0
all-images-CVIU11-pattern14-target11 109 178 209 228 0 184 0 0 91 180 150 NaN NaN 64 NaN NaN 123 0 0
all-images-CVIU11-pattern14-target110 120 203 262 247 0 177 0 0 85 223 190 NaN NaN 72 NaN NaN 143 0 0
all-images-CVIU11-pattern14-target111 124 235 246 236 0 215 0 0 88 165 187 NaN NaN 101 NaN NaN 115 0 0
all-images-CVIU11-pattern14-target112 132 168 215 352 0 187 0 0 82 192 187 NaN NaN 72 NaN NaN 82 0 0
all-images-CVIU11-pattern14-target113 158 357 331 295 0 267 0 0 146 247 224 NaN NaN 96 NaN NaN 158 0 0
all-images-CVIU11-pattern14-target114 109 130 179 221 0 147 0 0 82 168 110 NaN NaN 48 NaN NaN 76 0 0
all-images-CVIU11-pattern14-target115 194 349 471 462 0 350 0 0 169 354 333 NaN NaN 168 NaN NaN 176 0 0
all-images-CVIU11-pattern14-target116 402 812 1174 1068 0 829 0 0 435 857 747 NaN NaN 382 NaN NaN 389 0 0
all-images-CVIU11-pattern14-target117 256 449 600 564 0 418 0 0 220 432 424 NaN NaN 276 NaN NaN 213 0 0
all-images-CVIU11-pattern14-target118 212 319 501 431 0 305 0 0 175 287 278 NaN NaN 135 NaN NaN 147 0 0
all-images-CVIU11-pattern14-target119 419 794 1008 1032 0 752 0 0 384 714 697 NaN NaN 349 NaN NaN 394 0 0
all-images-CVIU11-pattern14-target12 241 400 485 525 0 415 0 0 200 430 409 NaN NaN 221 NaN NaN 208 0 0
all-images-CVIU11-pattern14-target120 251 475 655 704 0 430 0 0 222 460 435 NaN NaN 208 NaN NaN 216 0 0
all-images-CVIU11-pattern14-target121 330 604 840 771 0 581 0 0 407 562 571 NaN NaN 318 NaN NaN 286 0 0
all-images-CVIU11-pattern14-target122 252 324 416 396 0 382 0 0 146 276 270 NaN NaN 123 NaN NaN 198 0 0
all-images-CVIU11-pattern14-target123 329 613 870 828 0 579 0 0 326 597 574 NaN NaN 275 NaN NaN 389 0 0
all-images-CVIU11-pattern14-target124 246 369 515 468 0 358 0 0 191 342 388 NaN NaN 183 NaN NaN 201 0 0
all-images-CVIU11-pattern14-target125 384 524 714 716 0 506 0 0 283 544 609 NaN NaN 258 NaN NaN 265 0 0
all-images-CVIU11-pattern14-target126 54 89 78 118 0 80 0 0 30 78 44 NaN NaN 23 NaN NaN 47 0 0
all-images-CVIU11-pattern14-target127 72 69 98 143 0 66 0 0 36 66 58 NaN NaN 47 NaN NaN 49 0 0
all-images-CVIU11-pattern14-target128 411 507 731 657 0 481 0 0 277 506 494 NaN NaN 217 NaN NaN 236 0 0
all-images-CVIU11-pattern14-target129 56 101 121 163 0 121 0 0 49 100 78 NaN NaN 54 NaN NaN 73 0 0
all-images-CVIU11-pattern14-target13 202 393 496 550 0 377 0 0 211 408 391 NaN NaN 187 NaN NaN 218 0 0
all-images-CVIU11-pattern14-target130 54 88 130 120 0 122 0 0 71 77 99 NaN NaN 56 NaN NaN 45 0 0
all-images-CVIU11-pattern14-target131 106 250 307 279 0 188 0 0 106 184 162 NaN NaN 112 NaN NaN 120 0 0
all-images-CVIU11-pattern14-target132 146 277 389 368 0 261 0 0 168 238 262 NaN NaN 140 NaN NaN 177 0 0
all-images-CVIU11-pattern14-target133 121 323 297 414 0 197 0 0 160 185 218 NaN NaN 81 NaN NaN 162 0 0
all-images-CVIU11-pattern14-target134 142 325 371 398 0 248 0 0 210 262 245 NaN NaN 110 NaN NaN 120 0 0
all-images-CVIU11-pattern14-target135 137 264 314 403 0 210 0 0 143 257 207 NaN NaN 97 NaN NaN 116 0 0
all-images-CVIU11-pattern14-target136 174 290 385 339 0 300 0 0 123 240 229 NaN NaN 179 NaN NaN 157 0 0
all-images-CVIU11-pattern14-target137 91 86 126 185 0 81 0 0 43 108 101 NaN NaN 60 NaN NaN 71 0 0
all-images-CVIU11-pattern14-target138 452 812 1117 1055 0 750 0 0 402 770 749 NaN NaN 392 NaN NaN 396 0 0
all-images-CVIU11-pattern14-target139 107 143 164 159 0 109 0 0 96 111 99 NaN NaN 78 NaN NaN 94 0 0
all-images-CVIU11-pattern14-target14 94 109 218 129 0 87 0 0 75 83 119 NaN NaN 36 NaN NaN 49 0 0
all-images-CVIU11-pattern14-target140 98 174 240 191 175 175 124 185 108 144 128 NaN NaN 98 NaN NaN 74 59 77
all-images-CVIU11-pattern14-target141 66 147 184 156 0 139 0 0 58 147 95 NaN NaN 46 NaN NaN 86 0 0
all-images-CVIU11-pattern14-target142 197 231 329 390 269 224 269 861 177 214 211 NaN NaN 165 NaN NaN 120 89 31
all-images-CVIU11-pattern14-target143 156 169 313 242 0 234 0 0 119 151 208 NaN NaN 107 NaN NaN 84 0 0
all-images-CVIU11-pattern14-target144 176 316 472 433 0 296 0 0 228 291 303 NaN NaN 143 NaN NaN 160 0 0
all-images-CVIU11-pattern14-target145 122 121 151 187 0 177 0 0 71 176 131 NaN NaN 64 NaN NaN 90 0 0
all-images-CVIU11-pattern14-target146 290 534 755 689 0 520 0 0 294 541 481 NaN NaN 233 NaN NaN 300 0 0
all-images-CVIU11-pattern14-target15 38 63 66 111 0 52 0 0 31 65 60 NaN NaN 37 NaN NaN 48 0 0
all-images-CVIU11-pattern14-target16 75 190 175 175 0 119 0 0 75 111 145 NaN NaN 48 NaN NaN 103 0 0
all-images-CVIU11-pattern14-target17 279 523 864 658 0 686 0 0 258 528 458 NaN NaN 232 NaN NaN 268 0 0
all-images-CVIU11-pattern14-target18 311 503 644 632 0 525 0 0 353 455 581 NaN NaN 217 NaN NaN 237 0 0
all-images-CVIU11-pattern14-target19 436 870 1151 1118 0 822 0 0 413 877 828 NaN NaN 388 NaN NaN 402 0 0
all-images-CVIU11-pattern14-target2 179 333 491 451 0 354 0 0 159 303 324 NaN NaN 218 NaN NaN 163 0 0
all-images-CVIU11-pattern14-target20 364 592 782 746 0 548 0 0 293 556 628 NaN NaN 267 NaN NaN 319 0 0
all-images-CVIU11-pattern14-target21 214 389 702 529 433 384 381 422 221 401 364 NaN NaN 167 NaN NaN 201 153 181
all-images-CVIU11-pattern14-target22 130 248 387 320 0 247 0 0 132 240 290 NaN NaN 142 NaN NaN 133 0 0
all-images-CVIU11-pattern14-target23 270 483 686 620 0 471 0 0 236 449 491 NaN NaN 221 NaN NaN 246 0 0
all-images-CVIU11-pattern14-target24 63 63 139 123 0 94 0 0 53 74 54 NaN NaN 41 NaN NaN 53 0 0
all-images-CVIU11-pattern14-target25 140 225 284 279 0 188 0 0 97 207 169 NaN NaN 84 NaN NaN 130 0 0
all-images-CVIU11-pattern14-target26 106 146 164 242 0 113 0 0 57 132 155 NaN NaN 76 NaN NaN 57 0 0
all-images-CVIU11-pattern14-target27 188 381 522 467 0 322 0 0 160 343 326 NaN NaN 157 NaN NaN 254 0 0
all-images-CVIU11-pattern14-target28 79 131 117 119 0 104 0 0 40 86 83 NaN NaN 54 NaN NaN 56 0 0
all-images-CVIU11-pattern14-target29 471 862 1132 1061 0 795 0 0 421 796 773 NaN NaN 376 NaN NaN 403 0 0
all-images-CVIU11-pattern14-target3 268 531 696 670 0 586 0 0 259 487 481 NaN NaN 234 NaN NaN 391 0 0
all-images-CVIU11-pattern14-target30 327 599 852 794 0 587 0 0 326 577 568 NaN NaN 277 NaN NaN 378 0 0
all-images-CVIU11-pattern14-target31 263 465 619 611 0 432 0 0 240 445 444 NaN NaN 214 NaN NaN 232 0 0
all-images-CVIU11-pattern14-target32 633 954 1339 1220 0 902 0 0 528 945 894 NaN NaN 439 NaN NaN 482 0 0
all-images-CVIU11-pattern14-target33 464 951 1322 1173 0 879 0 0 440 820 839 NaN NaN 395 NaN NaN 475 0 0
all-images-CVIU11-pattern14-target34 186 361 547 466 0 330 0 0 206 338 321 NaN NaN 158 NaN NaN 218 0 0
all-images-CVIU11-pattern14-target35 429 891 1148 1099 0 810 0 0 416 764 784 NaN NaN 394 NaN NaN 435 0 0
all-images-CVIU11-pattern14-target36 224 253 388 356 0 237 0 0 129 235 305 NaN NaN 141 NaN NaN 120 0 0
all-images-CVIU11-pattern14-target37 428 749 1044 992 0 810 0 0 416 763 698 NaN NaN 363 NaN NaN 385 0 0
all-images-CVIU11-pattern14-target38 363 713 951 889 0 650 0 0 350 679 622 NaN NaN 322 NaN NaN 327 0 0
all-images-CVIU11-pattern14-target39 192 272 394 389 0 292 0 0 142 272 366 NaN NaN 149 NaN NaN 143 0 0
all-images-CVIU11-pattern14-target4 250 444 618 677 0 422 0 0 241 489 411 NaN NaN 217 NaN NaN 248 0 0
all-images-CVIU11-pattern14-target40 222 369 499 515 0 507 0 0 224 343 333 NaN NaN 263 NaN NaN 270 0 0
all-images-CVIU11-pattern14-target41 193 428 531 517 0 351 0 0 167 320 349 NaN NaN 187 NaN NaN 182 0 0
all-images-CVIU11-pattern14-target42 227 383 541 539 0 413 0 0 287 374 379 NaN NaN 181 NaN NaN 222 0 0
all-images-CVIU11-pattern14-target43 329 613 843 822 0 624 0 0 331 596 576 NaN NaN 298 NaN NaN 419 0 0
all-images-CVIU11-pattern14-target44 489 889 1217 1223 0 918 0 0 432 883 866 NaN NaN 414 NaN NaN 473 0 0
all-images-CVIU11-pattern14-target45 438 835 1173 1089 0 808 0 0 426 802 805 NaN NaN 382 NaN NaN 445 0 0
all-images-CVIU11-pattern14-target46 225 420 576 520 0 380 0 0 215 365 391 NaN NaN 187 NaN NaN 211 0 0
all-images-CVIU11-pattern14-target47 468 641 899 896 0 647 0 0 348 623 629 NaN NaN 309 NaN NaN 328 0 0
all-images-CVIU11-pattern14-target48 189 216 337 313 0 217 0 0 115 224 193 NaN NaN 93 NaN NaN 106 0 0
all-images-CVIU11-pattern14-target49 225 375 530 495 0 384 0 0 188 356 338 NaN NaN 185 NaN NaN 220 0 0
all-images-CVIU11-pattern14-target5 346 782 912 889 0 656 0 0 323 654 614 NaN NaN 318 NaN NaN 322 0 0
all-images-CVIU11-pattern14-target50 526 788 1004 948 0 747 0 0 371 733 695 NaN NaN 360 NaN NaN 368 0 0
all-images-CVIU11-pattern14-target51 178 324 420 398 0 277 0 0 145 290 283 NaN NaN 148 NaN NaN 160 0 0
all-images-CVIU11-pattern14-target52 191 304 434 419 0 305 0 0 158 329 267 NaN NaN 186 NaN NaN 151 0 0
all-images-CVIU11-pattern14-target53 111 302 349 266 0 216 0 0 88 213 160 NaN NaN 79 NaN NaN 100 0 0
all-images-CVIU11-pattern14-target54 129 231 313 274 0 242 0 0 135 223 175 NaN NaN 132 NaN NaN 105 0 0
all-images-CVIU11-pattern14-target55 110 240 266 279 0 182 0 0 94 218 225 NaN NaN 88 NaN NaN 96 0 0
all-images-CVIU11-pattern14-target56 79 173 244 216 0 133 0 0 104 130 157 NaN NaN 94 NaN NaN 68 0 0
all-images-CVIU11-pattern14-target57 491 993 1251 1217 0 919 0 0 479 938 924 NaN NaN 450 NaN NaN 474 0 0
all-images-CVIU11-pattern14-target58 105 175 266 230 0 160 0 0 105 230 148 NaN NaN 84 NaN NaN 76 0 0
all-images-CVIU11-pattern14-target59 356 590 873 780 0 563 0 0 298 560 542 NaN NaN 276 NaN NaN 326 0 0
all-images-CVIU11-pattern14-target6 521 609 863 811 0 667 0 0 345 644 649 NaN NaN 327 NaN NaN 333 0 0
all-images-CVIU11-pattern14-target60 181 321 450 418 0 306 0 0 152 289 276 NaN NaN 152 NaN NaN 232 0 0
all-images-CVIU11-pattern14-target61 304 603 798 748 0 606 0 0 272 531 534 NaN NaN 262 NaN NaN 277 0 0
all-images-CVIU11-pattern14-target62 387 653 1036 946 0 658 0 0 327 623 611 NaN NaN 325 NaN NaN 349 0 0
all-images-CVIU11-pattern14-target63 274 495 700 642 0 474 0 0 306 475 471 NaN NaN 259 NaN NaN 241 0 0
all-images-CVIU11-pattern14-target64 204 352 531 502 0 362 0 0 252 332 317 NaN NaN 146 NaN NaN 168 0 0
all-images-CVIU11-pattern14-target65 203 314 424 489 0 359 0 0 244 317 291 NaN NaN 136 NaN NaN 145 0 0
all-images-CVIU11-pattern14-target66 146 259 302 253 0 223 0 0 122 190 262 NaN NaN 119 NaN NaN 101 0 0
all-images-CVIU11-pattern14-target67 368 706 1047 908 0 682 0 0 344 684 630 NaN NaN 317 NaN NaN 349 0 0
all-images-CVIU11-pattern14-target68 415 818 1034 1030 0 733 0 0 384 740 715 NaN NaN 339 NaN NaN 397 0 0
all-images-CVIU11-pattern14-target69 552 870 1223 1156 0 851 0 0 434 861 838 NaN NaN 405 NaN NaN 608 0 0
all-images-CVIU11-pattern14-target7 399 703 780 811 0 625 0 0 292 636 543 NaN NaN 312 NaN NaN 365 0 0
all-images-CVIU11-pattern14-target70 412 690 994 913 0 678 0 0 374 671 646 NaN NaN 342 NaN NaN 382 0 0
all-images-CVIU11-pattern14-target71 447 537 897 828 0 523 0 0 332 536 497 NaN NaN 272 NaN NaN 273 0 0
all-images-CVIU11-pattern14-target72 279 500 676 691 0 482 0 0 257 494 588 NaN NaN 230 NaN NaN 251 0 0
all-images-CVIU11-pattern14-target73 410 751 1014 945 0 713 0 0 368 723 677 NaN NaN 336 NaN NaN 381 0 0
all-images-CVIU11-pattern14-target74 553 816 1159 1104 0 736 0 0 404 755 727 NaN NaN 356 NaN NaN 432 0 0
all-images-CVIU11-pattern14-target75 451 822 1087 1170 0 777 0 0 409 778 789 NaN NaN 424 NaN NaN 397 0 0
all-images-CVIU11-pattern14-target76 667 826 1197 1228 0 836 0 0 400 796 784 NaN NaN 369 NaN NaN 552 0 0
all-images-CVIU11-pattern14-target77 439 830 1244 1094 0 790 0 0 433 826 765 NaN NaN 393 NaN NaN 401 0 0
all-images-CVIU11-pattern14-target78 421 769 1049 1033 0 793 0 0 411 760 738 NaN NaN 409 NaN NaN 428 0 0
all-images-CVIU11-pattern14-target79 88 153 225 189 0 193 0 0 73 131 122 NaN NaN 78 NaN NaN 122 0 0
all-images-CVIU11-pattern14-target8 184 296 418 405 0 323 0 0 202 361 271 NaN NaN 156 NaN NaN 177 0 0
all-images-CVIU11-pattern14-target80 111 200 248 272 0 210 0 0 92 213 170 NaN NaN 78 NaN NaN 143 0 0
all-images-CVIU11-pattern14-target81 180 359 463 418 0 295 0 0 161 302 280 NaN NaN 144 NaN NaN 163 0 0
all-images-CVIU11-pattern14-target82 245 485 635 626 0 445 0 0 238 429 388 NaN NaN 218 NaN NaN 233 0 0
all-images-CVIU11-pattern14-target83 394 459 699 899 0 451 0 0 246 463 536 NaN NaN 210 NaN NaN 226 0 0
all-images-CVIU11-pattern14-target84 39 39 55 53 0 57 0 0 34 59 50 NaN NaN 16 NaN NaN 24 0 0
all-images-CVIU11-pattern14-target85 316 602 737 771 0 547 0 0 298 587 549 NaN NaN 319 NaN NaN 303 0 0
all-images-CVIU11-pattern14-target86 216 438 536 482 0 359 0 0 283 354 354 NaN NaN 235 NaN NaN 224 0 0
all-images-CVIU11-pattern14-target87 269 313 490 516 0 312 0 0 156 378 298 NaN NaN 175 NaN NaN 170 0 0
all-images-CVIU11-pattern14-target88 326 524 822 717 0 529 0 0 299 520 537 NaN NaN 242 NaN NaN 278 0 0
all-images-CVIU11-pattern14-target89 144 242 317 267 0 216 0 0 100 227 205 NaN NaN 85 NaN NaN 110 0 0
all-images-CVIU11-pattern14-target9 176 340 424 484 0 296 0 0 190 350 303 NaN NaN 134 NaN NaN 160 0 0
